url,id,label_it,level
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503,A503,Riscatto del servizio prestato in qualità di dipendente statale non di ruolo senza iscrizione all’Assicurazione Generale Obbligatoria (art. 14 e 15 del DPR 1092/1973)	-	Lavoratori Dipendenti dell'Assicurazione Generale Obbligatoria,1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503EL,A503EL,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Elettrici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503FS,A503FS,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Ferrovieri",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503LS,A503LS,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Lavoratori dello Spettacolo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503PT,A503PT,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Poste",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503SP,A503SP,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Lavoratori Sportivi",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503TT,A503TT,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Telefonici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/A503VL,A503VL,"Riscatto dei periodi di assenza facoltativa per maternità collocati al di fuori del rapporto di lavoro (art. 35 comma 5, D.Lgs. 151/2001)	-	Volo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AEFS,AEFS,"Riscatto di periodi di aspettativa senza assegni per seguire il coniuge all’estero (art. 3 , c. 2, del DLgs. 184/1997)	-	Ferrovieri",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AEPT,AEPT,"Riscatto di periodi di aspettativa senza assegni per seguire il coniuge all’estero (art. 3 , c. 2, del DLgs. 184/1997)	-	Poste",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMF,AMF,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Lavoratori Dipendenti dell'Assicurazione Generale Obbligatoria",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFEL,AMFEL,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Elettrici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFFS,AMFFS,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Ferrovieri",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFLS,AMFLS,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Lavoratori dello Spettacolo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFPT,AMFPT,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Poste",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFSP,AMFSP,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Lavoratori Sportivi",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFTT,AMFTT,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Telefonici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/AMFVL,AMFVL,"Riscatto di periodi di aspettativa per gravi motivi di famiglia (art.4, comma 2, legge n.53/2000 e art. 1, comma 789, legge 27 dicembre 2006 n. 296)	-	Volo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/ART9SP,ART9SP,"Riscatto periodi di attività svolta anteriormente all’istituzione dell’assicurazione obbligatoria per l’invalidità la vecchiaia e i superstiti da parte di giocatori, allenatori di calcio e sportivi professionisti (art.9 della legge n.366/1973 e art.9 della legge n.91/1981)	-	Lavoratori Sportivi",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5,CF5,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Lavoratori Dipendenti dell'Assicurazione Generale Obbligatoria",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5EL,CF5EL,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Elettrici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5FS,CF5FS,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Ferrovieri",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5LS,CF5LS,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Lavoratori dello Spettacolo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5PT,CF5PT,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Poste",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5SP,CF5SP,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Lavoratori Sportivi",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5TT,CF5TT,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Telefonici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/CF5VL,CF5VL,"Riscatto del periodo di congedo per la formazione (art.5, comma 5, legge n.53/2000)	-	Volo",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/COM662,COM662,"Riscatto dei periodi prescritti presentata da soggetti per i quali l'obbligo contributivo nella gestione degli esercenti attività commerciali è insorto dal 1° gennaio 1997 (art.1, comma 207, della legge 23 dicembre 1996, n. 662)	-	Commercianti",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/DST7,DST7,"Riscatto dei periodi intercorrenti tra un rapporto di lavoro e l’altro nel caso di lavori discontinui, stagionali, temporanei (art.7 del D. Lgs. n.654/1996)	-	Lavoratori Dipendenti dell'Assicurazione Generale Obbligatoria",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/DST7EL,DST7EL,"Riscatto dei periodi intercorrenti tra un rapporto di lavoro e l’altro nel caso di lavori discontinui, stagionali, temporanei (art.7 del D. Lgs. n.654/1996)	-	Elettrici",1
https://w3id.org/italia/social-security/controlled-vocabulary/contributions/tipo_riscatto_privato/DST7FS,DST7FS,"Riscatto dei periodi intercorrenti tra un rapporto di lavoro e l’altro nel caso di lavori discontinui, stagionali, temporanei (art.7 del D. Lgs. n.654/1996)	-	Ferrovieri",1
