url,id,label_it,level
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/123,123,Figurativa Esodo,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/126,126,Figurativa Esodo,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/136,136,Fig. integr. (L.191/09),1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/159,159,Agric.giorn.integr.malat,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/297,297,Proroga Figurativa NASpI,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/298,298,Contr.Figurativa NASpI,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/300,300,Figurativa,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/301,301,Figurativa utile p. anz.,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/302,302,Ctr. Figurativa per ASpI,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/303,303,Ctr.Figur. per mini-ASpI,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/304,304,Ctr.Figur.Mini-ASpI 2012,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/307,307,Mater./pater. ad int.,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/309,309,Figurativa ad integraz.,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/310,310,Malattia e/o infortunio,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/314,314,Infortunio invalidante,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/315,315,Malattia extra rapp.lav.,1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/319,319,Malattia/infort.(ad int),1
https://w3id.org/italia/controlled-vocabulary/OP21/tipo_ricongiunzione/320,320,Maternita'/Ast.facoltat.,1
