url,id,label_it,level,parent
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL,AEDL,"Aziende, enti e datori di lavoro",1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/BIF,BIF,Banca e intermediario finanziario,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/D,D,Disoccupato,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/EEPP,EEPP,"Ente erogatore di prestazioni previdenziali, consolato e altra autorità locale",1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/F,F,Famiglia,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/IC,IC,Intermediari e consulenti,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L,L,Lavoratore,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/LM,LM,Lavoratore migrante,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/MASL,MASL,Medici e ASL,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/P,P,Pensionato,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/PDI,PDI,Persone con disabilità e invalidità,1,
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/A,A,Azienda,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/AA,AA,Azienda agricola,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/AC,AC,Artigiano e commerciante,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/AGR,AGR,Agricolo,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/AMSLS,AMSLS,"Artista, musicista, scrittore e lavoratore dello spettacolo",2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/ANZ,ANZ,Anziano,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/F
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/ASL,ASL,ASL,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/MASL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/ASMV,ASMV,Azienda del settore marittimo e volo,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/ASSCAT,ASSCAT,Associazione di categoria e sindacato,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/IC
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/C,C,Cieco,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/PDI
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/CAF,CAF,CAF,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/IC
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/CC,CC,Casalinga e casalingo,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/CL,CL,Consulente del lavoro e professionista,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/IC
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/CSI,CSI,Cittadino straniero in Italia,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/LM
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/DAI,DAI,Dirigente aziendale e industriale,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/DIS,DIS,Disabile,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/PDI
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/DLD,DLD,Datore di lavoro domestico,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/DP,DP,Dipendente privato,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/DPB,DPB,Dipendente pubblico,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/FS,FS,Figlio e studente,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/F
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/FSUP,FSUP,Familiare superstite,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/F
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/G,G,Genitore,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/F
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/IE,IE,Impresa edile,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/AEDL
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/INV,INV,Invalido,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/PDI
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/LD,LD,Lavoratore domestico,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello2/LIGS,LIGS,Lavoratore iscritto alla Gestione Separata,2,https://w3id.org/italia/controlled-vocabulary/OP21/categorie_utenza/livello1/L
