url,label_it,level,id.@language,id.@value
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-001,FPLD,,it,001-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-002,Minatori,,it,001-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-003,Piccola pesca,,it,001-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-004,Bancari,,it,001-004
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-005,Spedizionieri,,it,001-005
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-006,INPDAI,,it,001-006
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-007,Marittimi ante 1965,,it,001-007
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/001-008,INPGI,,it,001-008
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/002-001,CD/CM,,it,002-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/003-001,Artigiani,,it,003-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/004-001,Commercianti,,it,004-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/004-002,Indennizzo,,it,004-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/005-001,Lavoratori Parasubordinati,,it,005-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/006-001,Assegno Sociale,,it,006-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/006-002,Invalidit� Civile,,it,006-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/006-003,Pensione Sociale,,it,006-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-001,Clero,,it,007-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-002,Dazieri,,it,007-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-003,Elettrici,,it,007-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-004,Esattoriali,,it,007-004
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-005,Trasporti,,it,007-005
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-006,Ferrovie,,it,007-006
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-007,Gas,,it,007-007
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-008,Ex-dipendenti,,it,007-008
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-009,Ex-salariati,,it,007-009
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-010,Prev. marinara,,it,007-010
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-011,Prev.Mar.Speciale,,it,007-011
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-012,Telefonici,,it,007-012
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-013,Volo,,it,007-013
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/007-014,IPOST,,it,007-014
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-001,Credito cooperativo,,it,008-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-002,Credito,,it,008-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-003,Altri enti esodanti,,it,008-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-004,Ferrovie dello Stato,,it,008-004
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-005,"Azienda con art. 4, legge 92/2012",,it,008-005
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-006,Assicurativi,,it,008-006
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-007,Credito,,it,008-007
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-008,Credito cooperativo,,it,008-008
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-009,Altri enti esodanti,,it,008-009
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-010,Azienda pubblica L 26/2019,,it,008-010
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-011,Azienda settore servizi ambientali,,it,008-011
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/008-012,"Azienda con art. 41,dlgs 148/2015",,it,008-012
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/009-001,Ex-ENPAO,,it,009-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/010-001,Casalinghe,,it,010-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/010-002,BIS,,it,010-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/011-001,Vitalizie,,it,011-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/012-014,Da determinare,,it,012-014
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/013-015,Non determinato,,it,013-015
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/014-015,Non determinato,,it,014-015
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/015-016,Eredi,,it,015-016
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/015-017,Pensionato,,it,015-017
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/015-018,D'ufficio,,it,015-018
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/016-019,Lavori faticosi e pesanti,,it,016-019
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/017-001,Fondo Sociale Occupazione,,it,017-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/018-001,Ordinario,,it,018-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/018-002,Sportivi,,it,018-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-001,CTPS CIVILI,,it,019-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-002,CTPS DOCENTI,,it,019-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-003,CTPS MILITARI E POLIZIA DI STATO,,it,019-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-004,CPDEL,,it,019-004
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-005,CPUG,,it,019-005
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-006,CPI,,it,019-006
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-007,CPS,,it,019-007
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-008,GENERICO,,it,019-008
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/019-009,ENTI DI PREVIDENZA,,it,019-009
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/020-001,APE,,it,020-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/021-015,Non determinato,,it,021-015
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/099-099,Da determinare,,it,099-099
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-001,Ex dipendenti Lloyd Triestini,,it,101-001
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-002,Giocatori di calcio,,it,101-002
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-003,Procacciatori postali,,it,101-003
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-004,Giornalai e venditori ambulanti,,it,101-004
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-005,Artigiani,,it,101-005
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-006,Minatori in convenzione,,it,101-006
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-007,Profughi dalla Libia,,it,101-007
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-008,Iscrizioni collettive,,it,101-008
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/101-009,Facchini e ausiliari del traffico,,it,101-009
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/201-021,INPS,,it,201-021
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/201-022,EX INPDAP,,it,201-022
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/201-023,EX IPOST,,it,201-023
https://w3id.org/italia/social-security/controlled-vocabulary/pensions/tipo_fondo/201-024,EX ENPALS,,it,201-024
